contig1	1	272	PROKKA_MOD_PART0_00001
contig1	1	126	PROKKA_MOD_PART0_00002
contig4	1	399	PROKKA_MOD_PART0_00003
contig2	1	303	PROKKA_MOD_PART0_00004
contig2	1	175	PROKKA_MOD_PART0_00005
contig2	1	127	PROKKA_MOD_PART0_00006
contig6	1	32	PROKKA_MOD_PART0_00007
contig6	1	307	PROKKA_MOD_PART0_00008
contig6	1	142	PROKKA_MOD_PART0_00009
contig3	1	211	PROKKA_MOD_PART0_00010
contig6	1	98	PROKKA_MOD_PART0_00011
contig7	1	279	PROKKA_MOD_PART0_00012
contig8	1	57	PROKKA_MOD_PART0_00013
contig9	1	73	PROKKA_MOD_PART0_00014
contig10	1	465	PROKKA_MOD_PART0_00015
contig11	1	443	PROKKA_MOD_PART0_00016
contig12	1	225	PROKKA_MOD_PART0_00017
contig13	1	207	PROKKA_MOD_PART0_00018
contig14	1	104	PROKKA_MOD_PART0_00019
contig4	1	141	PROKKA_MOD_PART0_00020
contig15	1	199	PROKKA_MOD_PART0_00021
contig5	1	749	PROKKA_MOD_PART0_00022
contig16	1	97	PROKKA_MOD_PART0_00023
contig17	1	153	PROKKA_MOD_PART0_00024
contig18	1	81	PROKKA_MOD_PART0_00025
contig19	1	96	PROKKA_MOD_PART0_00026
contig20	1	136	PROKKA_MOD_PART0_00027
contig21	1	362	PROKKA_MOD_PART0_00028
contig22	1	232	PROKKA_MOD_PART0_00029
contig23	1	316	PROKKA_MOD_PART0_00030
contig24	1	235	PROKKA_MOD_PART0_00031
contig25	1	489	PROKKA_MOD_PART0_00032
contig26	1	240	PROKKA_MOD_PART0_00033
contig27	1	86	PROKKA_MOD_PART0_00034
contig28	1	320	PROKKA_MOD_PART0_00035
contig29	1	193	PROKKA_MOD_PART0_00036
contig30	1	335	PROKKA_MOD_PART0_00037
contig31	1	223	PROKKA_MOD_PART0_00038
contig32	1	171	PROKKA_MOD_PART0_00039
contig33	1	135	PROKKA_MOD_PART0_00040
contig34	1	317	PROKKA_MOD_PART0_00041
contig35	1	44	PROKKA_MOD_PART0_00042
